Fusiegemeente;adress;latitude;longitude
Sint-Pieters-Woluwe;Sint-Pieters-Woluwe, Belgium;50,8299809;4,4335038
Sint-Truiden;Sint-Truiden, Belgium;50,8157248;5,1862508
Stabroek;Stabroek, Belgium;51,3347284;4,3716888
Staden;Staden, Belgium;50,9746511;3,0145745
Steenokkerzeel;Steenokkerzeel, Belgium;50,90793;4,51349
Stekene;Stekene, Belgium;51,2063826;4,040883
Temse;Temse, Belgium;51,12955;4,21275
Ternat;Ternat, Belgium;50,8700928;4,1783284
Tervuren;Tervuren, Belgium;50,8259264;4,5077781
Tessenderlo;Tessenderlo, Belgium;51,0642666;5,0881938
Tielt;Tielt, Belgium;50,940892;4,9046956
Tielt-Winge;Tielt-Winge, Belgium;50,9226445;4,9148532
Tienen;Tienen, Belgium;50,81057;4,93622
Tongeren;Tongeren, Belgium;50,78419;5,47449
Torhout;Torhout, Belgium;51,06498;3,10157
Tremelo;Tremelo, Belgium;50,9911642;4,7037297
Turnhout;Turnhout, Belgium;51,3216509;4,9375577
Ukkel;Ukkel, Belgium;50,8023982;4,34067
Veurne;Veurne, Belgium;51,073159;2,6680341
Vilvoorde;Vilvoorde, Belgium;50,9272511;4,4257868
Vleteren;Vleteren, Belgium;50,9296908;2,7327547
Voeren;Voeren, Belgium;50,746591;5,6564626
Vorselaar;Vorselaar, Belgium;51,2025247;4,7708827
Vorst;Vorst, Belgium;50,8134333;4,3248344
Vosselaar;Vosselaar, Belgium;51,31473;4,88768
Waarschoot;Waarschoot, Belgium;51,1514819;3,6060488
Waasmunster;Waasmunster, Belgium;51,1094611;4,0844742
Wachtebeke;Wachtebeke, Belgium;51,17095;3,86055
Waregem;Waregem, Belgium;50,8868949;3,4231675
Watermaal-Bosvoorde;Watermaal-Bosvoorde, Belgium;50,7881573;4,4180065
Wellen;Wellen, Belgium;50,8404;5,33835
Wemmel;Wemmel, Belgium;50,91032;4,3009225
Wervik;Wervik, Belgium;50,7841386;3,0448969
Westerlo;Westerlo, Belgium;51,08995;4,91434
Wetteren;Wetteren, Belgium;51,0029052;3,8896697
Wevelgem;Wevelgem, Belgium;50,8089296;3,1836033
Wezembeek-Oppem;Wezembeek-Oppem, Belgium;50,8508976;4,4874562
Wichelen;Wichelen, Belgium;51,0048208;3,97358
Wielsbeke;Wielsbeke, Belgium;50,9099425;3,3724874
Wijnegem;Wijnegem, Belgium;51,2298182;4,5108974
Willebroek;Willebroek, Belgium;51,05983;4,36404
Wingene;Wingene, Belgium;51,05865;3,2748
Wommelgem;Wommelgem, Belgium;51,2021676;4,5219648
Wortegem-Petegem;Wortegem-Petegem, Belgium;50,8445045;3,5268826
Wuustwezel;Wuustwezel, Belgium;51,38945;4,5912313
Zandhoven;Zandhoven, Belgium;51,2162255;4,6624922
Zaventem;Zaventem, Belgium;50,8854878;4,4709968
Zedelgem;Zedelgem, Belgium;51,1421779;3,1368396
Zele;Zele, Belgium;51,0700765;4,0403498
Zelzate;Zelzate, Belgium;51,1987114;3,8119772
Zemst;Zemst, Belgium;50,985535;4,4558434
Zingem;Zingem, Belgium;50,9013625;3,6526698
Zoersel;Zoersel, Belgium;51,2682227;4,7125694
Zomergem;Zomergem, Belgium;51,1192868;3,5644511
Zonhoven;Zonhoven, Belgium;50,98707;5,36716
Zonnebeke;Zonnebeke, Belgium;50,8727216;2,9874808
Zottegem;Zottegem, Belgium;50,8695469;3,8107086
Zoutleeuw;Zoutleeuw, Belgium;50,83231;5,10442
Zuienkerke;Zuienkerke, Belgium;51,2649386;3,153933
Zulte;Zulte, Belgium;50,9219215;3,4437734
Zutendaal;Zutendaal, Belgium;50,93196;5,57227
Zwalm;Zwalm, Belgium;50,8789794;3,7265356
Zwevegem;Zwevegem, Belgium;50,8129259;3,332698
Zwijndrecht;Zwijndrecht, Belgium;51,2164116;4,3335905
