Gemeente Origineel;Postcode;Fusiegemeente;Stedelijkheid fusiegemeenten;Gemeente cluster;Province (English);Country (English);Provincie;Stedelijkheid;;;;;;;;;;;;;;;;;;;;
Buizingen (Halle);1501;Halle;Niet-stedelijk;Buizingen (Halle);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lembeek (Halle);1502;Halle;Niet-stedelijk;Lembeek (Halle);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ham;3945;Ham;Niet-stedelijk;Ham;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hamme;9220;Hamme;Niet-stedelijk;Hamme;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Moerzeke (Hamme);9220;Hamme;Niet-stedelijk;Moerzeke (Hamme);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Achel (Hamont-Achel);3930;Hamont-Achel;Niet-stedelijk;Achel (Hamont-Achel);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hamont (Hamont-Achel);3930;Hamont-Achel;Niet-stedelijk;Hamont (Hamont-Achel);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hamont-Achel;3930;Hamont-Achel;Niet-stedelijk;Hamont-Achel;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Harelbeke;8530;Harelbeke;Niet-stedelijk;Harelbeke;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hulste (Harelbeke);8531;Harelbeke;Niet-stedelijk;Hulste (Harelbeke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hasselt;3500;Hasselt;Centrumstad;Hasselt;Limburg;Belgium;Limburg;Centrumstad;;;;;;;;;;;;;;;;;;;;
Sint-Lambrechts-Herk (Hasselt);3500;Hasselt;Centrumstad;Sint-Lambrechts-Herk (Hasselt);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wimmertingen (Hasselt);3501;Hasselt;Centrumstad;Wimmertingen (Hasselt);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kuringen (Hasselt);3511;Hasselt;Centrumstad;Kuringen (Hasselt);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Stevoort (Hasselt);3512;Hasselt;Centrumstad;Stevoort (Hasselt);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hechtel;3940;Hechtel-Eksel;Niet-stedelijk;Hechtel;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hechtel-Eksel;3940;Hechtel-Eksel;Niet-stedelijk;Hechtel-Eksel;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Eksel (Hechtel-Eksel);3941;Hechtel-Eksel;Niet-stedelijk;Eksel (Hechtel-Eksel);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Heers;3870;Heers;Niet-stedelijk;Heers;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Mechelen-Bovelingen (Heers);3870;Heers;Niet-stedelijk;Mechelen-Bovelingen (Heers);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Opheers (Heers);3870;Heers;Niet-stedelijk;Opheers (Heers);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Veulen (Heers);3870;Heers;Niet-stedelijk;Veulen (Heers);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Heist-op-den-Berg;2220;Heist-op-den-Berg;Niet-stedelijk;Heist-op-den-Berg;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Booischot (Heist-Op-Den-Berg);2221;Heist-op-den-Berg;Niet-stedelijk;Booischot (Heist-Op-Den-Berg);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wiekevorst (Heist-Op-Den-Berg);2222;Heist-op-den-Berg;Niet-stedelijk;Wiekevorst (Heist-Op-Den-Berg);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Itegem (Heist-Op-Den-Berg);2222;Heist-op-den-Berg;Niet-stedelijk;Itegem (Heist-Op-Den-Berg);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Schriek (Heist-Op-Den-Berg);2223;Heist-op-den-Berg;Niet-stedelijk;Schriek (Heist-Op-Den-Berg);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hemiksem;2620;Hemiksem;Niet-stedelijk;Hemiksem;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Herent;3020;Herent;Niet-stedelijk;Herent;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Veltem-Beisem (Herent);3020;Herent;Niet-stedelijk;Veltem-Beisem (Herent);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Winksele (Herent);3020;Herent;Niet-stedelijk;Winksele (Herent);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Herentals;2200;Herentals;Niet-stedelijk;Herentals;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Morkhoven (Herentals);2200;Herentals;Niet-stedelijk;Morkhoven (Herentals);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Noorderwijk (Herentals);2200;Herentals;Niet-stedelijk;Noorderwijk (Herentals);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Herenthout;2270;Herenthout;Niet-stedelijk;Herenthout;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Berbroek (Herk-De-Stad);3540;Herk-de-Stad;Niet-stedelijk;Berbroek (Herk-De-Stad);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Donk (Herk-De-Stad);3540;Herk-de-Stad;Niet-stedelijk;Donk (Herk-De-Stad);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Herk-de-Stad;3540;Herk-de-Stad;Niet-stedelijk;Herk-de-Stad;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Herfelingen (Herne);1540;Herne;Niet-stedelijk;Herfelingen (Herne);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Herne;1540;Herne;Niet-stedelijk;Herne;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Pieters-Kapelle (Herne);1541;Herne;Niet-stedelijk;Sint-Pieters-Kapelle (Herne);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Herselt;2230;Herselt;Niet-stedelijk;Herselt;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ramsel (Herselt);2230;Herselt;Niet-stedelijk;Ramsel (Herselt);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Herstappe;3717;Herstappe;Niet-stedelijk;Herstappe;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Herzele;9550;Herzele;Niet-stedelijk;Herzele;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hillegem (Herzele);9550;Herzele;Niet-stedelijk;Hillegem (Herzele);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Antelinks (Herzele);9550;Herzele;Niet-stedelijk;Sint-Antelinks (Herzele);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Lievens-Esse (Herzele);9550;Herzele;Niet-stedelijk;Sint-Lievens-Esse (Herzele);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Borsbeke (Herzele);9552;Herzele;Niet-stedelijk;Borsbeke (Herzele);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Heusden (Heusden-Zolder);3550;Heusden-Zolder;Niet-stedelijk;Heusden (Heusden-Zolder);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Heusden-Zolder;3550;Heusden-Zolder;Niet-stedelijk;Heusden-Zolder;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zolder (Heusden-Zolder);3550;Heusden-Zolder;Niet-stedelijk;Zolder (Heusden-Zolder);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Heuvelland;8950;Heuvelland;Niet-stedelijk;Heuvelland;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nieuwkerke (Heuvelland);8950;Heuvelland;Niet-stedelijk;Nieuwkerke (Heuvelland);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Dranouter (Heuvelland);8951;Heuvelland;Niet-stedelijk;Dranouter (Heuvelland);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wulvergem (Heuvelland);8952;Heuvelland;Niet-stedelijk;Wulvergem (Heuvelland);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wijtschate (Heuvelland);8953;Heuvelland;Niet-stedelijk;Wijtschate (Heuvelland);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Westouter (Heuvelland);8954;Heuvelland;Niet-stedelijk;Westouter (Heuvelland);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kemmel (Heuvelland);8956;Heuvelland;Niet-stedelijk;Kemmel (Heuvelland);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hoegaarden;3320;Hoegaarden;Niet-stedelijk;Hoegaarden;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meldert (Hoegaarden);3320;Hoegaarden;Niet-stedelijk;Meldert (Hoegaarden);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hoeilaart;1560;Hoeilaart;Niet-stedelijk;Hoeilaart;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hoeselt;3730;Hoeselt;Niet-stedelijk;Hoeselt;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Holsbeek;3220;Holsbeek;Niet-stedelijk;Holsbeek;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kortrijk-Dutsel (Holsbeek);3220;Holsbeek;Niet-stedelijk;Kortrijk-Dutsel (Holsbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Pieters-Rode (Holsbeek);3220;Holsbeek;Niet-stedelijk;Sint-Pieters-Rode (Holsbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nieuwrode (Holsbeek);3221;Holsbeek;Niet-stedelijk;Nieuwrode (Holsbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gits (Hooglede);8830;Hooglede;Niet-stedelijk;Gits (Hooglede);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hooglede;8830;Hooglede;Niet-stedelijk;Hooglede;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hoogstraten;2320;Hoogstraten;Niet-stedelijk;Hoogstraten;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meer (Hoogstraten);2321;Hoogstraten;Niet-stedelijk;Hoogstraten;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Minderhout (Hoogstraten);2322;Hoogstraten;Niet-stedelijk;Hoogstraten;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wortel (Hoogstraten);2323;Hoogstraten;Niet-stedelijk;Wortel (Hoogstraten);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meerle (Hoogstraten);2328;Hoogstraten;Niet-stedelijk;Hoogstraten;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Horebeke;9667;Horebeke;Niet-stedelijk;Horebeke;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Houthalen-Helchteren;3530;Houthalen-Helchteren;Niet-stedelijk;Houthalen-Helchteren;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Houthulst;8650;Houthulst;Niet-stedelijk;Houthulst;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Klerken (Houthulst);8650;Houthulst;Niet-stedelijk;Klerken (Houthulst);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Merkem (Houthulst);8650;Houthulst;Niet-stedelijk;Merkem (Houthulst);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hove;2540;Hove;Niet-stedelijk;Hove;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Huldenberg;3040;Huldenberg;Niet-stedelijk;Huldenberg;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Loonbeek (Huldenberg);3040;Huldenberg;Niet-stedelijk;Loonbeek (Huldenberg);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Neerijse (Huldenberg);3040;Huldenberg;Niet-stedelijk;Neerijse (Huldenberg);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ottenburg (Huldenberg);3040;Huldenberg;Niet-stedelijk;Ottenburg (Huldenberg);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Houtvenne (Hulshout);2235;Hulshout;Niet-stedelijk;Houtvenne (Hulshout);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hulshout;2235;Hulshout;Niet-stedelijk;Hulshout;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bekegem (Ichtegem);8480;Ichtegem;Niet-stedelijk;Bekegem (Ichtegem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Eernegem (Ichtegem);8480;Ichtegem;Niet-stedelijk;Eernegem (Ichtegem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ichtegem;8480;Ichtegem;Niet-stedelijk;Ichtegem;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Dikkebus (Ieper);8900;Ieper;Niet-stedelijk;Dikkebus (Ieper);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ieper;8900;Ieper;Niet-stedelijk;Ieper;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Brielen (Ieper);8900;Ieper;Niet-stedelijk;Brielen (Ieper);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hollebeke (Ieper);8902;Ieper;Niet-stedelijk;Hollebeke (Ieper);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zillebeke (Ieper);8902;Ieper;Niet-stedelijk;Zillebeke (Ieper);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Voormezele (Ieper);8902;Ieper;Niet-stedelijk;Voormezele (Ieper);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Boezinge (Ieper);8904;Ieper;Niet-stedelijk;Boezinge (Ieper);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zuidschote (Ieper);8904;Ieper;Niet-stedelijk;Zuidschote (Ieper);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Elverdinge (Ieper);8906;Ieper;Niet-stedelijk;Elverdinge (Ieper);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vlamertinge (Ieper);8908;Ieper;Niet-stedelijk;Vlamertinge (Ieper);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ingelmunster;8770;Ingelmunster;Niet-stedelijk;Ingelmunster;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Izegem;8870;Izegem;Niet-stedelijk;Izegem;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kachtem (Izegem);8870;Izegem;Niet-stedelijk;Kachtem (Izegem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Jabbeke;8490;Jabbeke;Niet-stedelijk;Jabbeke;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Stalhille (Jabbeke);8490;Jabbeke;Niet-stedelijk;Stalhille (Jabbeke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Varsenare (Jabbeke);8490;Jabbeke;Niet-stedelijk;Varsenare (Jabbeke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Jette (Brussel);1090;Jette;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Kalmthout;2920;Kalmthout;Niet-stedelijk;Kalmthout;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Berg (Kampenhout);1910;Kampenhout;Niet-stedelijk;Berg (Kampenhout);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Buken (Kampenhout);1910;Kampenhout;Niet-stedelijk;Buken (Kampenhout);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kampenhout;1910;Kampenhout;Niet-stedelijk;Kampenhout;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nederokkerzeel (Kampenhout);1910;Kampenhout;Niet-stedelijk;Nederokkerzeel (Kampenhout);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kapelle-op-den-Bos;1880;Kapelle-op-den-Bos;Niet-stedelijk;Kapelle-op-den-Bos;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nieuwenrode (Kapelle-Op-Den-Bos);1880;Kapelle-op-den-Bos;Niet-stedelijk;Nieuwenrode (Kapelle-Op-Den-Bos);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kapellen;2950;Kapellen;Niet-stedelijk;Kapellen;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kaprijke;9970;Kaprijke;Niet-stedelijk;Kaprijke;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lembeke (Kaprijke);9971;Kaprijke;Niet-stedelijk;Lembeke (Kaprijke);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kasterlee;2460;Kasterlee;Niet-stedelijk;Kasterlee;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lichtaart (Kasterlee);2460;Kasterlee;Niet-stedelijk;Lichtaart (Kasterlee);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tielen (Kasterlee);2460;Kasterlee;Niet-stedelijk;Tielen (Kasterlee);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Keerbergen;3140;Keerbergen;Niet-stedelijk;Keerbergen;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kessenich (Kinrooi);3640;Kinrooi;Niet-stedelijk;Kessenich (Kinrooi);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kinrooi;3640;Kinrooi;Niet-stedelijk;Kinrooi;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Molenbeersel (Kinrooi);3640;Kinrooi;Niet-stedelijk;Molenbeersel (Kinrooi);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kluisbergen;9690;Kluisbergen;Niet-stedelijk;Kluisbergen;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ruien (Kluisbergen);9690;Kluisbergen;Niet-stedelijk;Ruien (Kluisbergen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Knesselare;9910;Knesselare;Niet-stedelijk;Knesselare;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ursel (Knesselare);9910;Knesselare;Niet-stedelijk;Ursel (Knesselare);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Knokke (Knokke-Heist);8300;Knokke-Heist;Niet-stedelijk;Knokke (Knokke-Heist);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Knokke-Heist;8300;Knokke-Heist;Niet-stedelijk;Knokke-Heist;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Heist-Aan-Zee (Knokke-Heist);8301;Knokke-Heist;Niet-stedelijk;Heist-Aan-Zee (Knokke-Heist);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Koekelare;8680;Koekelare;Niet-stedelijk;Koekelare;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Koekelberg (Brussel);1081;Koekelberg;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Koksijde;8670;Koksijde;Niet-stedelijk;Koksijde;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oostduinkerke (Koksijde);8670;Koksijde;Niet-stedelijk;Oostduinkerke (Koksijde);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kontich;2550;Kontich;Niet-stedelijk;Kontich;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Waarloos (Kontich);2550;Kontich;Niet-stedelijk;Waarloos (Kontich);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Handzame (Kortemark);8610;Kortemark;Niet-stedelijk;Handzame (Kortemark);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kortemark;8610;Kortemark;Niet-stedelijk;Kortemark;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zarren (Kortemark);8610;Kortemark;Niet-stedelijk;Zarren (Kortemark);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kortenaken;3470;Kortenaken;Niet-stedelijk;Kortenaken;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ransberg (Kortenaken);3470;Kortenaken;Niet-stedelijk;Ransberg (Kortenaken);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hoeleden (Kortenaken);3471;Kortenaken;Niet-stedelijk;Hoeleden (Kortenaken);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kortenberg;3070;Kortenberg;Niet-stedelijk;Kortenberg;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Erps-Kwerps (Kortenberg);3071;Kortenberg;Niet-stedelijk;Erps-Kwerps (Kortenberg);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meerbeek (Kortenberg);3078;Kortenberg;Niet-stedelijk;Meerbeek (Kortenberg);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Everberg (Kortenberg);3078;Kortenberg;Niet-stedelijk;Everberg (Kortenberg);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kortessem;3720;Kortessem;Niet-stedelijk;Kortessem;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kortrijk;8500;Kortrijk;Centrumstad;Kortrijk;West Flanders;Belgium;West-Vlaanderen;Centrumstad;;;;;;;;;;;;;;;;;;;;
Bissegem (Kortrijk);8501;Kortrijk;Centrumstad;Bissegem (Kortrijk);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Heule (Kortrijk);8501;Kortrijk;Centrumstad;Heule (Kortrijk);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bellegem (Kortrijk);8510;Kortrijk;Centrumstad;Bellegem (Kortrijk);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
