Gemeente Origineel;Postcode;Fusiegemeente;Stedelijkheid fusiegemeenten;Gemeente cluster;Province (English);Country (English);Provincie;Stedelijkheid;;;;;;;;;;;;;;;;;;;;
Korbeek-Lo (Bierbeek);3360;Bierbeek;Niet-stedelijk;Korbeek-Lo (Bierbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lovenjoel (Bierbeek);3360;Bierbeek;Niet-stedelijk;Lovenjoel (Bierbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beverst (Bilzen);3740;Bilzen;Niet-stedelijk;Beverst (Bilzen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bilzen;3740;Bilzen;Niet-stedelijk;Bilzen;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Eigenbilzen (Bilzen);3740;Bilzen;Niet-stedelijk;Eigenbilzen (Bilzen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hees (Bilzen);3740;Bilzen;Niet-stedelijk;Hees (Bilzen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kleine-Spouwen (Bilzen);3740;Bilzen;Niet-stedelijk;Kleine-Spouwen (Bilzen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Mopertingen (Bilzen);3740;Bilzen;Niet-stedelijk;Mopertingen (Bilzen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Munsterbilzen (Bilzen);3740;Bilzen;Niet-stedelijk;Munsterbilzen (Bilzen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Rijkhoven (Bilzen);3740;Bilzen;Niet-stedelijk;Rijkhoven (Bilzen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
